12
23
600000

lb	0000011000xx	001005
lh	0000011001xx	001025
lw	0000011010xx	001065
lbu	0000011100xx	00100D
lhu	0000011101xx	00102D
addi	0010011000xx	001003
slli	001001100100	001303
slti	0010011010xx	001483
sltiu	0010011011xx	001503
xori	0010011100xx	001683
srli	001001110100	001383
srai	001001110110	001403
ori	0010011110xx	001583
andi	0010011111xx	001603
auipc	0010111xxxxx	101003
sb	0100011000xx	041010
sh	0100011001xx	041030
sw	0100011010xx	041070
add	011001100000	001803
sub	011001100010	001883
mul	011001100001	001903
sll	011001100100	001B03
mulh	011001100101	001983
slt	011001101000	001C83
sltu	011001101100	001D03
xor	011001110000	001E83
div	011001110001	001A03
srl	011001110100	001B83
sra	011001110110	001C03
or	011001111000	001D83
rem	011001111001	001A83
and	011001111100	001E03
lui	0110111xxxxx	100703
beq	1100011000xx	092000
bne	1100011001xx	09A000
blt	1100011100xx	082000
bge	1100011101xx	08A000
bltu	1100011110xx	0A2000
bgeu	1100011111xx	0AA000
jalr	1100111000xx	005001
jal	1101111xxxxx	0C4001
ebreak	111001100000	200000
